spygen_code,protection
SPY201149,0
SPY201151,0
SPY201176,0
SPY201177,0
SPY201179,0
SPY201193,0
SPY202492,0
SPY202499,0
SPY210647,0
SPY210652,0
SPY210695,0
SPY210696,0
SPY210697,0
SPY210698,0
SPY210699,0
SPY210700,0
SPY210705,0
SPY210710,0
SPY231655,0
SPY231656,0
SPY231657,0
SPY231658,0
SPY231659,0
SPY231665,0
SPY231666,0
SPY231667,0
SPY231668,0
SPY231705,0
SPY231706,0
SPY231707,0
SPY231708,0
SPY231709,0
SPY231710,0
SPY231711,0
SPY231712,0
SPY231774,0
SPY231775,0
SPY231776,0
SPY231777,0
SPY231778,0
SPY231779,0
SPY231780,0
SPY231781,0
SPY231782,0
SPY231783,0
SPY231784,0
SPY231785,0
SPY231786,0
SPY231787,0
SPY231788,0
SPY231789,0
SPY231790,0
SPY231791,0
SPY231792,0
SPY231793,0
SPY231794,0
SPY231795,0
SPY231796,0
SPY231797,0
SPY231798,0
SPY231903,0
SPY231904,0
SPY231905,0
SPY231906,0
SPY231907,0
SPY231908,0
SPY231915,0
SPY231916,0
SPY232830,0
SPY232831,0
SPY232833,0
SPY232834,0
SPY231679,1
SPY231680,1
SPY231677,1
SPY231678,1
SPY231703,1
SPY231704,1
SPY231909,1
SPY231910,1
SPY231697,1
SPY231698,1
SPY201150,1
SPY201152,1
SPY201157,1
SPY201158,1
SPY231699,1
SPY231700,1
SPY231701,1
SPY231702,1
SPY231911,1
SPY201187,1
SPY201192,1
SPY201198,1
SPY202500,1
SPY231683,1
SPY231684,1
SPY231685,1
SPY231686,1
SPY231687,1
SPY231688,1
SPY231689,1
SPY231690,1
SPY201175,1
SPY201191,1
SPY202496,1
SPY202498,1
SPY231660,1
SPY231661,1
SPY231662,1
SPY231663,1
SPY231664,1
